Date,Description,Amount,Balance
2024-01-02,STARBUCKS COFFEE,-4.50,2495.50
2024-01-03,UBER TRIP,-12.00,2483.50
2024-01-03,NETFLIX SUBSCRIPTION,-15.99,2467.51
2024-01-05,WHOLE FOODS MARKET,-87.23,2380.28
2024-01-06,AMAZON PURCHASE,-45.00,2335.28
2024-01-08,SHELL GAS STATION,-52.00,2283.28
2024-01-09,SPOTIFY PREMIUM,-9.99,2273.29
2024-01-10,CHIPOTLE,-14.50,2258.79
2024-01-12,SALARY DEPOSIT,3500.00,5758.79
2024-01-13,RENT PAYMENT,-1200.00,4558.79
2024-01-14,ELECTRIC BILL,-85.00,4473.79
2024-01-15,DISNEY PLUS,-7.99,4465.80
2024-01-16,UBER EATS,-28.50,4437.30
2024-01-18,TARGET,-67.00,4370.30
2024-01-19,GYM MEMBERSHIP,-49.99,4320.31
2024-01-20,COFFEE SHOP,-5.00,4315.31
2024-01-22,GRUBHUB,-32.00,4283.31
2024-01-23,APPLE SUBSCRIPTION,-2.99,4280.32
2024-01-24,HULU SUBSCRIPTION,-12.99,4267.33
2024-01-25,PARKING,-8.00,4259.33
2024-01-26,RESTAURANT,-55.00,4204.33
2024-01-28,AMAZON PRIME,-14.99,4189.34
2024-01-29,PHONE BILL,-75.00,4114.34
2024-01-30,SAVINGS TRANSFER,-500.00,3614.34
