Date,Description,Amount
2025-01-01,Netflix Subscription,-15.99
2025-01-02,Hulu Subscription,-12.99
2025-01-03,Disney+ Subscription,-10.99
2025-01-04,Spotify Premium,-9.99
2025-01-05,DoorDash Order,-42.85
2025-01-07,UberEats Delivery,-58.30
2025-01-08,DoorDash Order,-33.50
2025-01-10,UberEats Delivery,-65.00
2025-01-12,DoorDash Order,-27.45
2025-01-14,UberEats Delivery,-25.60
2025-01-03,Planet Fitness - NEVER USED,-49.99
2025-01-06,Whole Foods Market,-134.20
2025-01-09,Costco Wholesale,-215.80
2025-01-11,Shell Gas Station,-58.40
2025-01-15,Duke Energy Utilities,-148.50
2025-01-18,Verizon Wireless,-89.00
2025-01-20,Target Household,-67.30
2025-01-23,Kroger Supermarket,-112.45
2025-01-26,AT&T Internet,-72.00
2025-01-30,Amazon Purchase,-355.35
