Date,Description,Amount
2025-01-02,Whole Foods Market,-87.42
2025-01-03,Shell Gas Station,-52.10
2025-01-05,Trader Joe's Grocery,-63.75
2025-01-06,Metro Transit Pass,-95.00
2025-01-07,Verizon Wireless,-85.00
2025-01-08,Duke Energy Utilities,-128.50
2025-01-09,Kroger Supermarket,-54.30
2025-01-10,Costco Wholesale,-142.65
2025-01-12,BP Gas Station,-48.20
2025-01-13,AT&T Internet,-65.00
2025-01-14,Target Household,-34.90
2025-01-16,Aldi Grocery,-28.75
2025-01-17,Uber Ride,-12.50
2025-01-19,Water Utility Co,-42.00
2025-01-20,Safeway Grocery,-71.85
2025-01-22,Chevron Gas,-45.60
2025-01-24,Walmart Grocery,-98.33
2025-01-25,Lyft Ride,-8.50
2025-01-27,Home Depot Supplies,-62.00
2025-01-30,National Grid Electric,-178.00
